@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720882
@ CHARGE           %le                   1
@ ENERGY           %le                6500
@ PC               %le         6499.999932
@ GAMMA            %le         6927.628011
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0003963800759
@ SIGE             %le     0.0001184028326
@ SIGT             %le                   0
@ NPART            %le             2.2e+11
@ EX               %le     5.052234321e-10
@ EY               %le     5.052234321e-10
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003478889379
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.61418275
@ Q1               %le          62.3099952
@ Q2               %le         60.32000737
@ DQ1              %le        0.1122597635
@ DQ2              %le        0.9522991785
@ DXMAX            %le         3.087215646
@ DYMAX            %le         3.286288184
@ XCOMAX           %le      0.008052830914
@ YCOMAX           %le      0.009794994349
@ BETXMAX          %le         7140.739111
@ BETYMAX          %le         8937.057786
@ XCORMS           %le     0.0005526855989
@ YCORMS           %le      0.000858420746
@ DXRMS            %le         1.512489751
@ DYRMS            %le        0.4312741707
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.06.00 Linux 64"
@ DATE             %08s "02/07/21"
@ TIME             %08s "09.42.21"
* NAME                                S               BETX               BETY                MUX                MUY               ALFX               ALFY                K1L 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le 
 "BPM.25R1.B1"              1182.608435        104.1941386         55.1227474        2.963529067        2.678423985       -1.209092768   -0.0003085846697                  0
 "BPM.26R1.B1"              1236.059919        29.21948533         373.116512        3.142244105        2.743768042      -0.0635325475       -4.712967815                  0
 "BPM.27R1.B1"              1289.511403        295.7371565        36.02554396        3.247760578        2.814376523       -4.267522794        1.432445315                  0
 "BPM.28R1.B1"              1342.962887        48.41923972        91.40591147        3.315968187        3.053298226        1.287081156       -1.647193102                  0
 "BPM.29R1.B1"              1396.414371        103.8736782        54.44830169        3.465477752        3.177803201       -1.220879106     -0.00716931374                  0
 "BPM.30R1.B1"              1449.865855        29.56859395        372.3749321        3.642634691        3.243669522     -0.05776290976       -4.721471187                  0
 "BPM.31R1.B1"               1503.31734        295.3900577        36.10729023        3.747520242        3.314226851       -4.252927244        1.433015703                  0
 "BPM.32R1.B1"              1556.768824        48.04107047        91.29195431        3.816039152        3.552703384        1.283230419       -1.642986642                  0
 "BPM.33R1.B1"              1610.220308        103.3921912        54.43197717        3.966836641        3.677392645       -1.222230992     -0.01022601762                  0
 "BPM.34R1.B1"              1663.671792        29.71257263        373.7633055         4.14386697        3.743158656     -0.05938498534       -4.744492083                  0
 "BPM.33L2.B1"              1717.123276        295.4103107        36.89940626        4.248427977        3.812797667        -4.24975849        1.450184208                  0
 "BPM.32L2.B1"               1770.57476        48.11164481        89.56433058         4.31688217        4.048864144        1.284630377       -1.595968668                  0
 "BPM.31L2.B1"              1824.026244        103.3798236        53.60279579        4.467550393        4.176316331       -1.220711021     -0.02906464901                  0
 "BPM.30L2.B1"              1877.477728         29.7221959        374.8230778        4.644665127        4.242495357     -0.06021832381       -4.780514609                  0
 "BPM.29L2.B1"              1930.929212        296.6897679        36.83217106        4.748997511        4.312040324        -4.27402587        1.455298066                  0
 "BPM.28L2.B1"              1984.380696        48.57987154         89.5477626        4.816966683        4.549390412        1.293062035       -1.602864657                  0
 "BPM.27L2.B1"               2037.83218        103.4781977        54.00593865         4.96650718        4.676218261       -1.212049409     -0.02877423157                  0
 "BPM.26L2.B1"              2091.283665        29.72012378        375.1980531        5.143618802        4.742071655     -0.06054600572       -4.770091203                  0
 "BPM.25L2.B1"              2144.735149        296.0533386         36.8652972        5.248050738        4.811589934       -4.257387443        1.454770996                  0
 "BPM.24L2.B1"              2198.186633        47.51222278        89.54950507        5.316893706        5.048339564        1.281273402       -1.599000216                  0
 "BPM.23L2.B1"              2251.638117        102.5580992        53.80879923        5.469881223        5.175479194       -1.227294917     -0.02902675826                  0
 "BPM.22L2.B1"              2305.089601        30.22026759        375.9856163        5.645578562        5.241423315     -0.05848437486       -4.791837332                  0
 "BPM.21L2.B1"              2358.541085        296.8794283        37.15165066        5.748839194        5.310547782       -4.255409318        1.463698216                  0
 "BPM.20L2.B1"              2411.992569        47.26320103        88.91474077        5.817772207        5.546882787        1.282616141       -1.584325652                  0
 "BPM.19L2.B1"              2465.444053        102.1583373        53.39681801        5.971813368        5.675239162       -1.229506729     -0.03617773797                  0
 "BPM.18L2.B1"              2518.895537        30.59390486        375.3937964        6.146255089        5.741497193     -0.05537136275       -4.794508787                  0
 "BPM.17L2.B1"              2572.347021        296.6580907        37.16423722        6.248821607        5.810689502       -4.237615892        1.460801257                  0
 "BPM.16L2.B1"              2625.798506         46.8586507        88.92179664        6.318097222        6.046559667        1.278197474       -1.581895296                  0
 "BPM.15L2.B1"               2679.24999        101.6065848         53.5409882        6.473694981        6.174743929       -1.233748838     -0.03664221703                  0
 "BPM.14L2.B1"              2732.701474        30.94680811        376.3007303        6.647179437        6.240828104     -0.05365159515       -4.812860359                  0
 "BPM.13L2.B1"              2786.152958        296.2605772        38.70915408        6.749110656        6.308446526       -4.221401325        1.489333664                  0
 "BPM.12L2.B1"              2839.604442        38.39825945        86.75619994        6.826261615        6.534176569        1.183760316       -1.476119629                  0
 "BPM.11L2.B1"              2893.055926        102.9896467        45.76369227        7.008551927        6.678807419       -1.481506089     -0.07277518305                  0
 "BPM.10L2.B1"              2944.896615        34.68857568         349.355652        7.158309826        6.751064756      0.06298482508       -4.718820406                  0
 "BPM.9L2.B1"               2983.963605        201.4247999        55.39689419        7.243399926        6.792306377       -3.511210453        2.368413603                  0
 "BPM.8L2.B1"               3024.428594        16.05377377        54.20574987         7.34923087         6.95143412       0.8870509085      -0.7202422408                  0
 "BPM.7L2.B1"               3063.496584        111.9234471        42.16158004        7.621924309        7.088399035       -3.028704494      -0.2105895231                  0
 "BPMR.6L2.B1"              3095.602584        33.29958743        239.2085492        7.706144039        7.140479323      -0.1634564429        2.878006929                  0
 "BPMYB.5L2.B1"             3167.801584        171.8435537        32.84069026        7.867819368        7.321389304        2.566756188      -0.6966384783                  0
 "BPMYB.4L2.B1"             3188.371584        84.93147887         80.6373154        7.895051057        7.386836303        1.658429757       -1.626969939                  0
 "BPMWI.4L2.B1"             3212.839084        89.61758901        83.69133106        7.944388632        7.430774092      -0.6284086158        0.202373122                  0
